Order Number,Ship State,Ship Country,order_create_date,shipping_date,delivery_date,g_user_id,dateAndTime,times_ordered
7242364482,MD,US,7/24/2023,7/25/2023,8/1/2023,{01CA15BD-C974-497D-9FBC-E35019025D73},2023-07-28 11:30:00 ET,1
6132363721,MI,US,6/13/2023,6/14/2023,6/22/2023,{01C9F9BF-EBEF-4E66-B072-08D7C006C8A9},2023-06-17 14:54:00 ET,1
5122361322,CA,US,5/12/2023,7/13/2023,7/25/2023,{01C9DB73-4E85-4ADF-8EF4-9E18624357B4},2023-07-18 11:37:00 PT,1
6292362635,GA,US,6/29/2023,6/29/2023,7/11/2023,{01C9B3EF-4B95-4B1B-95A3-C5BC7C6C6BDC},2023-07-05 16:25:00 ET,1
7152365266,PA,US,7/15/2023,7/17/2023,7/25/2023,{01C99A29-7CEC-49EA-ABA7-4C2B0EB37344},2023-07-21 13:38:00 ET,1
6132366590,CT,US,6/13/2023,6/14/2023,6/22/2023,{01C9731B-AA18-4F17-AD7E-B44780C92915},2023-06-20 15:55:00 ET,1
6192369153,FL,US,6/19/2023,6/20/2023,6/27/2023,{01C963C7-0152-4475-A815-261B9087915C},2023-06-23 16:28:00 ET,1
7042368173,PA,US,7/4/2023,7/6/2023,7/13/2023,{01C8B274-B679-4BDE-A8AA-0D9704EE941A},2023-07-10 16:05:00 ET,1
7242361403,NJ,US,7/24/2023,7/24/2023,7/31/2023,{01C8AC8E-4569-4509-B814-B86E63A125A2},2023-07-27 13:18:00 ET,1
6102365377,PA,US,6/10/2023,6/11/2023,6/15/2023,{01C864BC-4400-48F2-A9E7-3752181707D5},2023-06-14 15:22:00 ET,1
7122369873,IL,US,7/12/2023,7/13/2023,7/21/2023,{01C83D77-FA0D-4462-A759-D2DF53D02CDE},2023-07-18 14:52:00 CT,2
7092361415,IL,US,7/9/2023,7/11/2023,7/19/2023,{01C83D77-FA0D-4462-A759-D2DF53D02CDE},2023-07-14 15:13:00 CT,2
7022363443,DE,US,7/2/2023,7/3/2023,7/10/2023,{01C7EBFA-B571-4FED-93AC-AD20D00E45B2},2023-07-07 12:57:00 ET,2
6152360393,DE,US,6/15/2023,6/15/2023,6/22/2023,{01C7EBFA-B571-4FED-93AC-AD20D00E45B2},2023-06-20 13:31:00 ET,2
7152367391,GA,US,7/15/2023,7/16/2023,7/19/2023,{01C7C934-44A1-4C34-82BE-6E2190521831},2023-07-19 12:23:00 ET,1
7012364026,MD,US,7/1/2023,7/3/2023,7/10/2023,{01C7BDBA-1BDE-47AB-AD3D-50DFEAEE0D81},2023-07-06 12:02:00 ET,1
6242363754,CO,US,6/24/2023,6/26/2023,7/10/2023,{01C73814-4DA1-4E1A-9A9B-7D32948EF5AD},2023-07-03 10:39:00 MT,1
7142368285,OH,US,7/14/2023,7/16/2023,7/19/2023,{01C72FD7-D2B1-4790-AE62-CF7217EC76FF},2023-07-20 11:47:00 ET,1
7092369031,WI,US,7/9/2023,7/10/2023,7/18/2023,{01C70FF1-CFD7-4BA5-AA56-F7B465416883},2023-07-15 12:45:00 CT,1
6302364506,TX,US,6/30/2023,7/2/2023,7/12/2023,{01C6FC9D-9AEF-4BAF-9F00-4A7FECC5CC0A},2023-07-08 12:49:00 CT,1
7152368073,TX,US,7/15/2023,7/17/2023,7/28/2023,{01C64D91-4165-491C-9D2C-6BDE9585081A},2023-07-25 08:56:00 CT,1
6172360259,GA,US,6/17/2023,6/19/2023,6/23/2023,{01C64BF9-7EB9-4799-8FDA-3B24B5B48729},2023-06-22 13:08:00 ET,1
6092367863,MI,US,6/9/2023,6/11/2023,6/20/2023,{01C64736-0C03-4B29-AC38-BA0CC22529B8},2023-06-16 12:42:00 ET,1
7082367002,NY,US,7/8/2023,7/10/2023,7/18/2023,{01C63888-AEBF-4646-B3D8-497411356DD2},2023-07-14 16:12:00 ET,1
6262365778,MD,US,6/26/2023,6/27/2023,7/5/2023,{01C62FC1-A521-4B31-856F-84101EA5835D},2023-06-30 13:34:00 ET,1
7042365163,OH,US,7/4/2023,7/6/2023,7/14/2023,{01C5C8E0-C8DD-4179-BA82-4A90F9DD6AA1},2023-07-10 14:41:00 ET,1
7112362435,TX,US,7/11/2023,7/12/2023,7/24/2023,{01C5A85D-4537-4820-967F-753C4640562A},2023-07-18 10:00:00 CT,3
7112362281,TX,US,7/11/2023,7/12/2023,7/24/2023,{01C5A85D-4537-4820-967F-753C4640562A},2023-07-18 09:19:00 CT,3
6192362777,TX,US,6/19/2023,6/19/2023,6/26/2023,{01C5A85D-4537-4820-967F-753C4640562A},2023-06-22 09:21:00 CT,3
7162369976,GA,US,7/16/2023,7/17/2023,7/25/2023,{01C551E4-D37E-448E-89A2-720DC56E5460},2023-07-21 10:42:00 ET,1
7022367931,AL,US,7/2/2023,7/3/2023,7/11/2023,{01C54EC8-400C-43E9-B8AF-199180CF0F6C},2023-07-07 12:04:00 CT,1
6212355076,KY,US,6/21/2023,6/22/2023,6/27/2023,{01C53771-EC65-444D-BA27-7993608800A6},6/24/2023 9:50,1
6192367601,KY,US,6/19/2023,6/20/2023,6/28/2023,{01C53771-EC65-444D-BA27-7993608800A6},2023-06-23 11:06:00 ET,1
6282361739,FL,US,6/28/2023,6/29/2023,7/10/2023,{01C490C8-AC53-4307-AA9E-F408F10760B7},2023-07-03 15:26:00 CT,1
6162366697,TN,US,6/16/2023,6/19/2023,6/27/2023,{01C48899-FE97-4237-955D-445F33C9996D},2023-06-22 14:27:00 ET,1
6132363266,OK,US,6/13/2023,6/13/2023,6/20/2023,{01C3EC48-5976-4DC0-BD3B-57E686ACF20A},2023-06-16 09:52:00 CT,1
7212363226,PA,US,7/21/2023,7/23/2023,8/1/2023,{01C39BD5-92C7-47AC-B3AC-45009918FBE5},2023-07-27 11:22:00 ET,2
7152368605,CO,US,7/15/2023,7/16/2023,7/24/2023,{01C38118-D99D-4766-9E30-18BBE216BD90},2023-07-26 12:50:00 MT,1
7192363312,TX,US,7/19/2023,7/20/2023,8/1/2023,{01C36EAE-2BC8-425B-8CDB-3713FF1F3C14},2023-07-25 12:09:00 CT,1
6042360354,GA,US,6/4/2023,6/5/2023,6/13/2023,{01C35E6E-B021-4C74-AA57-0353227F0370},2023-06-09 12:34:00 ET,1
7042360965,GA,US,7/4/2023,7/5/2023,7/13/2023,{01C33A17-7C6E-403F-A9A8-CCBB2BB28A67},2023-07-08 14:18:00 ET,1
6172367226,KS,US,6/17/2023,6/19/2023,7/3/2023,{01C2F1F0-7D60-4C9A-AF20-32E50BC1DE8B},2023-06-27 13:33:00 CT,1
6272363701,OH,US,6/27/2023,6/28/2023,7/7/2023,{01C26670-9B2A-4A08-9FAD-0676706565A8},2023-07-01 09:31:00 ET,1
7202360382,IN,US,7/20/2023,7/20/2023,7/27/2023,{01C2345E-B7C3-4B9D-975F-90E4DD32359D},2023-07-24 10:21:00 CT,1
6022366269,NY,US,6/2/2023,6/4/2023,6/9/2023,{01C22B81-79A1-41FB-BCC8-6022DF94FEA0},2023-06-07 15:57:00 ET,1
7092367842,WA,US,7/9/2023,7/11/2023,7/21/2023,{01C1D7D4-82D7-4DF3-B42A-FDF6CA404368},2023-07-24 12:31:00 PT,1
7202364894,ID,US,7/20/2023,7/21/2023,8/2/2023,{01C1D763-C494-4335-AE2E-302921B6E474},2023-07-26 14:08:00 MT,1
7162362750,MD,US,7/16/2023,7/17/2023,7/24/2023,{01C1B954-BC3F-4C3D-9ACA-90C2C98BB10A},2023-07-20 12:37:00 ET,1
7242360079,MN,US,7/24/2023,7/24/2023,8/1/2023,{01C18E26-47D0-4114-A413-1081FADF2F95},2023-07-28 10:59:00 CT,1
7262360061,NY,US,7/26/2023,7/26/2023,8/2/2023,{01C17961-1065-4649-928B-D11C04B83828},2023-07-29 11:01:00 ET,1
6052362142,MA,US,6/5/2023,6/5/2023,6/13/2023,{01C156AA-F6C7-4982-972F-5D80476660E0},2023-06-09 14:36:00 ET,1
7242362686,NE,US,7/24/2023,7/24/2023,8/7/2023,{01C10D6D-7397-4B7B-AEA3-1F0B5F3786B8},2023-07-28 11:59:00 CT,1
7272364740,AL,US,7/27/2023,7/28/2023,8/2/2023,{01C10964-8E27-4BA9-BC05-8F20EEC15A7A},2023-08-01 13:33:00 CT,1
6292363241,TX,US,6/29/2023,6/30/2023,7/14/2023,{01C0F4C9-C48A-4773-84A7-2D1CC240D3EF},2023-07-05 13:50:00 CT,1
7172365207,NY,US,7/17/2023,7/18/2023,7/25/2023,{01C0DAE4-A98E-4793-9FA0-60FBF1C71CD2},2023-07-21 14:41:00 ET,1
7262361172,NY,US,7/26/2023,7/26/2023,8/2/2023,{01C0D8BC-CA20-457E-9329-777265090C74},2023-07-29 13:14:00 ET,1
6192364530,FL,US,6/19/2023,6/19/2023,6/23/2023,{01C0D751-CFAA-4D4D-BA41-B1962535F190},2023-06-22 11:38:00 ET,2
6142362412,FL,US,6/14/2023,6/14/2023,6/21/2023,{01C0D751-CFAA-4D4D-BA41-B1962535F190},2023-06-17 12:40:00 ET,2
7262364541,IL,US,7/26/2023,7/27/2023,8/4/2023,{01C0994A-693C-4CE7-BC49-CF0CAE8DC2C9},2023-07-31 16:35:00 CT,1
6182362513,NY,US,6/18/2023,6/19/2023,6/27/2023,{01C07F70-E269-493B-B965-4861C8A4ED93},2023-06-22 09:56:00 ET,1
7072361417,GA,US,7/7/2023,7/7/2023,7/18/2023,{01C03B95-3F38-4B4A-ABBF-7A11335A0EE4},2023-07-12 16:09:00 ET,1
6042367535,CA,US,6/4/2023,6/14/2023,6/26/2023,{01BFC512-EAFA-4A5A-A39D-0A7FD717EEBE},2023-06-21 11:48:00 PT,1
7272364463,TN,US,7/27/2023,7/28/2023,8/7/2023,{01BF1682-2869-44CE-833E-4A8557F20BDE},2023-08-02 10:36:00 CT,1
7202361783,MD,US,7/20/2023,7/20/2023,7/27/2023,{01BEC49D-CCEA-4231-B795-82763F3568B1},2023-07-24 17:17:00 ET,1
7202360554,MO,US,7/20/2023,7/20/2023,7/26/2023,{01BE6596-E550-42BD-91FE-E8087C29EDE5},2023-07-24 15:25:00 CT,1
6192366772,WY,US,6/19/2023,6/20/2023,6/27/2023,{01BE5146-493B-4E60-9CF5-C5525300A0ED},2023-06-23 14:24:00 MT,1
7012362458,NV,US,7/1/2023,7/3/2023,7/13/2023,{01BE2FA8-9F51-4462-ABB8-278D5DC85D66},2023-07-11 13:03:00 PT,1
6132367233,CA,US,6/13/2023,6/21/2023,7/3/2023,{01BDD50B-71F4-4F87-8B5D-469B557614E1},2023-06-28 09:11:00 PT,1
6132367233,CA,US,6/13/2023,6/14/2023,6/26/2023,{01BDD50B-71F4-4F87-8B5D-469B557614E1},2023-06-21 08:58:00 PT,1
7092364190,IN,US,7/9/2023,7/10/2023,7/17/2023,{01BDA506-E60E-49E9-A8BB-9091D5D9684E},2023-07-13 14:17:00 ET,1
7182364873,OH,US,7/18/2023,7/19/2023,7/27/2023,{01BD87C1-90F2-4704-BCB0-822D6148DF45},2023-07-22 10:57:00 ET,1
